state,pct_age_mid1_avg,pct_age_mid2_avg,pct_age_old_avg,pct_age_young_avg,pct_black_avg,pct_dem_avg,pct_fem_avg,pct_hisp_avg,pct_ind_avg,pct_male_avg,pct_race_other_avg,pct_rep_avg,pct_white_avg,question_id_avg,pct_age_mid1_cnt,pct_age_mid2_cnt,pct_age_old_cnt,pct_age_young_cnt,pct_black_cnt,pct_dem_cnt,pct_fem_cnt,pct_hisp_cnt,pct_ind_cnt,pct_male_cnt,pct_race_other_cnt,pct_rep_cnt,pct_white_cnt,question_id_cnt
Arizona,17.75,-6.0,-2.0,19.5,58.0,89.16666666666667,15.666666666666666,35.0,19.333333333333332,-6.0,32.5,-80.5,-5.5,2.2177855348355272e+34,4.0,6.0,6.0,6.0,1.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0
Wisconsin,4.75,-0.75,8.8,35.25,32.0,91.0,15.6,16.0,17.8,-1.4,40.333333333333336,-85.2,4.0,2.6467026071425857e+28,4.0,4.0,5.0,4.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0
Pennsylvania,14.5,-0.8,6.833333333333333,27.5,58.0,83.83333333333333,19.333333333333332,17.0,17.0,-3.3333333333333335,60.25,-77.16666666666667,-2.0,2.2006522018188667e+34,4.0,5.0,6.0,6.0,1.0,6.0,6.0,1.0,5.0,6.0,4.0,6.0,6.0,6.0
Nevada,5.0,-2.6666666666666665,4.0,31.75,,87.25,15.25,30.5,2.25,-2.5,34.0,-84.0,-9.0,3.307728302503257e+22,3.0,3.0,4.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0
North Carolina,13.2,-3.2,-13.833333333333334,26.5,66.33333333333333,89.0,8.571428571428571,13.0,-2.8333333333333335,-4.428571428571429,26.0,-85.71428571428571,-8.714285714285714,1.898016177601862e+40,5.0,5.0,6.0,6.0,6.0,7.0,7.0,1.0,6.0,7.0,2.0,7.0,7.0,7.0
Florida,5.714285714285714,-1.875,2.25,22.75,76.85714285714286,85.75,12.75,12.285714285714286,6.875,-7.75,19.5,-81.5,-13.875,1.6542766548891513e+46,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,2.0,8.0,8.0,8.0
Ohio,6.5,-5.5,2.4,13.8,84.66666666666667,91.2,12.2,,3.5,-9.8,61.0,-82.2,-8.8,2.657322641982632e+28,4.0,4.0,5.0,5.0,3.0,5.0,5.0,0.0,4.0,5.0,2.0,5.0,5.0,5.0
Minnesota,17.333333333333332,-4.666666666666667,10.25,29.0,,92.5,22.5,,19.25,-1.0,33.0,-85.0,4.333333333333333,3.234978232603232e+22,3.0,3.0,4.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,1.0,4.0,3.0,4.0
Michigan,10.0,4.0,8.0,18.75,75.0,91.25,18.25,,18.25,-2.5,-9.0,-87.0,-1.25,3.3083533077033056e+22,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0,4.0,4.0,4.0
Georgia,6.4,-0.8333333333333334,-13.0,22.166666666666668,79.83333333333333,91.5,9.833333333333334,27.0,8.666666666666666,-10.666666666666666,5.0,-87.33333333333333,-38.0,2.213768881118871e+34,5.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,6.0
